COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID
277736,20240630,516788,5.85383275696206,11791,-745,27739,68.76023507363266,44.44,334023,10.153432048510542,14902,16249,4121,229675,16249_20240630
64928,20240630,87681,18.414048733061918,2249,419,15339,61.79321828213414,49.94,70867,0.0,18001,16584,237,43791,16584_20240630
274601,20240630,609129,10.29599818867732,14883,2615,51090,81.73706240890701,63.25,471359,0.0,16701,20179,17287,385275,20179_20240630
422283,20240630,517208,11.080920172947227,10181,2325,43328,43.73856999427825,39.17,463145,0.0,32534,20568,1808,202573,20568_20240630
52375,20240630,67886,15.785621712281772,1337,-95,7843,38.390666466376246,33.88,59913,36.83215942277959,11827,22229,258,23001,22229_20240630
4698353,20240630,6367450,10.259805470229916,180450,29860,617533,93.64683210927095,81.8,5561808,12.823310172415397,118427,24156,14319,5208457,24156_20240630
881196,20240630,1112373,9.790158719854588,30046,7335,105621,93.35949868338257,83.76,998012,13.359448962455717,91219,24823,3287,931739,24823_20240630
52086,20240630,104805,6.7377398720682296,2497,-72,5678,119.26958043050394,72.85,64018,11.60430625611684,12619,28217,357,76354,28217_20240630
50335,20240630,64693,14.355474767391707,1660,170,9187,69.0795320576766,58.87,55135,0.0,7225,29399,142,38087,29399_20240630
190213,20240630,268192,13.167392332646774,7676,1039,35353,91.67499196810127,77.67,227219,19.944743209120013,51334,31823,309,208303,31823_20240630
669174,20240630,1007058,10.497841885133992,26260,3335,93813,91.83105454916337,80.47,882415,16.88926057034226,58715,33708,2397,810331,33708_20240630
54502,20240630,92688,13.563105202691613,2840,677,14396,101.88714524207012,82.31,74875,19.740786588912588,12784,34334,95,76288,34334_20240630
367322,20240630,549583,11.351206339819495,14292,1629,66137,66.54896021050072,54.76,452255,14.081536040990796,96448,34643,1404,300971,34643_20240630
224299,20240630,591687,13.220689242424777,16070,3341,74179,75.40219155230274,58.97,462777,17.34853393628253,62463,35241,375,348944,35241_20240630
